Ubicacion,Tipo_Propiedad,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos
3,0,897,4480,1935,3827,4867,2675,125,58,627,2,270,9,535,78,681,38,374,5,1,0,0
2,0,3985,876,2144,5324,818,4650,557,9,122,64,300,16,745,36,114,52,651,4,1,3
0,1,5235,3366,955,939,1877,3887,732,9,471,24,133,7,131,46,262,78,544,18,0,4,4
3,1,2864,4358,4586,1611,585,525,400,96,610,12,642,04,225,54,81,9,73,5,4,3,2
3,0,2942,1146,2543,1628,2681,511,411,88,160,44,356,02,227,92,375,34,71,54,3,2,3
0,1,4463,4838,4113,2258,4986,3765,624,82,677,32,575,82,316,12,698,04,527,1,3,1,3
1,0,1690,1685,3100,5237,3130,5210,236,6,235,9,434,733,18,438,2,729,4,1,1,4
2,1,4015,1631,5028,4173,2074,4658,562,1,228,34,703,92,584,22,290,36,652,12,0,3,4
2,0,4025,1975,2445,1833,3393,3287,563,5,276,5,342,3,256,62,475,02,460,18,3,2,2
3,0,3920,2734,5354,3448,5368,628,548,8,382,76,749,56,482,72,751,52,87,92,4,0,4
1,0,3510,1004,2555,1899,5042,928,491,4,140,56,357,7,265,86,705,88,129,92,4,4,3
3,1,1096,2558,5029,677,3512,2870,153,44,358,12,704,06,94,78,491,68,401,8,0,4,4
2,1,1716,1801,2195,3265,4591,2618,240,24,252,14,307,3,457,1,642,74,366,52,4,4,1
2,1,1937,4741,4063,1736,4874,1274,271,18,663,74,568,82,243,04,682,36,178,36,1,1,2
3,0,5401,4874,2547,4208,722,3303,756,14,682,36,356,58,589,12,101,08,462,42,1,1,1
0,0,2109,2303,5273,2990,3321,1057,295,26,322,42,738,22,418,6,464,94,147,98,0,4,1
1,1,1314,2233,2481,834,4810,921,183,96,312,62,347,34,116,76,673,4,128,94,2,2,0
3,1,3379,2970,3274,1457,2915,754,473,06,415,8,458,36,203,98,408,1,105,56,1,4,0
1,0,4735,2950,2519,520,3445,4188,662,9,413,352,66,72,8,482,3,586,32,2,3,2
0,1,3748,5423,2728,4658,3627,3184,524,72,759,22,381,92,652,12,507,78,445,76,2,3,4
1,1,5316,1986,3748,1931,4685,1194,744,24,278,04,524,72,270,34,655,9,167,16,2,4,4
1,1,4689,668,2974,1853,1962,2325,656,46,93,52,416,36,259,42,274,68,325,5,0,0,2
2,1,2575,4876,1734,2166,1521,748,360,5,682,64,242,76,303,24,212,94,104,72,3,1,0
2,1,2596,3758,2859,2094,1848,3558,363,44,526,12,400,26,293,16,258,72,498,12,1,1,4
1,1,2936,4738,3649,4190,2279,4299,411,04,663,32,510,86,586,6,319,06,601,86,0,4,2
3,0,5416,2250,3613,3577,4189,4959,758,24,315,505,82,500,78,586,46,694,26,0,0,1
